Version                                 total          extracted           parsed         sized          
v2.6.12                                 5704           5548                5323           3070           
v2.6.13                                 5866           5725                5497           3216           
v2.6.14                                 6256           6115                5870           3505           
v2.6.15                                 6447           6306                6054           3588           
v2.6.16                                 6755           6617                6385           3806           
v2.6.17                                 6853           6724                6491           3831           
v2.6.18                                 7049           6921                6683           3927           
v2.6.19                                 7313           7174                6947           4103           
v2.6.20                                 7421           7289                7061           4152           
v2.6.21                                 7506           7375                7151           4211           
v2.6.22                                 7671           7570                7345           4353           
v2.6.23                                 7806           7707                7474           4416           
v2.6.24                                 8189           8117                7868           4729           
v2.6.25                                 8445           8364                8097           4896           
v2.6.26                                 8681           8598                8324           5039           
v2.6.27                                 9143           9062                8781           5379           
v2.6.28                                 9529           9447                9147           5676           
v2.6.29                                 10063          9724                9445           5916           
v2.6.30                                 10149          10069               9779           6165           
v2.6.31                                 10511          10423               10127          6406           
v2.6.32                                 10696          10618               10320          6542           
v2.6.33                                 10882          10803               10501          6678           
v2.6.34                                 11223          11144               10835          6883           
v2.6.35                                 11582          11503               11178          7078           
v2.6.36                                 11720          11639               11313          7189           
v2.6.37                                 11885          11801               11477          7319           
v2.6.38                                 12085          12002               11674          7423           
v2.6.39                                 12436          12351               12010          7728           
v3.0                                    12645          12561               12215          7873           
v3.1                                    12787          12702               12352          7972           
v3.2                                    13106          13021               12654          8186           
v3.3                                    13396          13317               12951          8405           
v3.4                                    13652          13572               13200          8601           
v3.5                                    13889          13808               13422          8731           
v3.6                                    14126          14045               13651          8820           
v3.7                                    14515          14423               14021          9097           
v3.8                                    14766          14674               14258          9232           
v3.9                                    14986          14894               14482          9409           
v3.10                                   15330          15238               14807          9656           
v3.11                                   15647          15557               15116          9875           
v3.12                                   15786          15696               15254          9896           
v3.13                                   15946          15854               15406          9988           
v3.14                                   16101          16011               15557          10094          
v3.15                                   16307          16213               15754          10243          
v3.16                                   16498          16408               15940          10369          
v3.17                                   16717          16625               16154          10552          
v3.18                                   16857          16765               16291          10636          
v3.19                                   17068          16978               16484          10743          
v4.0                                    17241          17151               16646          10839          
v4.1                                    17368          17278               16770          10917          
v4.2                                    18049          17961               17448          11422          
v4.3                                    18179          18091               17571          11526          
v4.4                                    18382          18294               17769          11671          
v4.5                                    18600          18511               17982          11816          
v4.6                                    18871          18779               18250          11983          
v4.7                                    19064          18973               18437          12121          
v4.8                                    19474          19384               18838          12418          
v4.9                                    19667          19575               19029          12554          
v4.10                                   19975          19882               19319          12782          
v4.11                                   20244          20151               19579          12962          
v4.12                                   20484          20372               19793          13125          
v4.13                                   20705          20593               20009          13335          
v4.14                                   20838          20723               20130          13410          
v4.15                                   20974          20856               20271          13552          
v4.16                                   21327          21210               20613          13820          
v4.17                                   21553          21436               20831          13971          
v4.18                                   21842          21720               21112          14165          
v4.19                                   22075          21957               21350          14334          
v4.20                                   22187          22070               21454          14407          
v5.0                                    22430          22315               21686          14574          
v5.1                                    22616          22501               21875          14716          
v5.2                                    22881          22766               22130          14919          
v5.3                                    23148          23026               22371          15106          
v5.4                                    23425          23301               22639          15310          
v5.5                                    23557          23415               22747          15367          
v5.6                                    23817          23674               23001          15521          
v5.7                                    24032          23889               23205          15608          
v5.8                                    24242          24100               23397          15735          
v5.9                                    24432          24289               23570          15863          
v5.10                                   24663          24525               23799          16025          
v5.11                                   24842          24705               23970          16157          
v5.12                                   24954          24817               24080          16234          
v5.13                                   25170          25033               24287          16368          
v5.14                                   25335          25198               24445          16480          
v5.15                                   25692          25556               24803          16716          
v5.16                                   25984          25846               25075          16912          
v5.17                                   26119          25981               25190          16978          
v5.18                                   26361          26221               25417          17116          
v5.19                                   26607          26466               25655          17298          
v6.0                                    26815          26673               25845          17443          
v6.1                                    26857          26715               25872          17452          
v6.2                                    27124          26983               26127          17622          
v6.3                                    27154          27013               26134          17607          
v6.4                                    27370          27229               26332          17753          
v6.5                                    27589          27450               26548          17886          
v6.6                                    27744          27605               26688          17977          
v6.7-rc1                                28245          28106               27077          18209          
